X;Y;ALUMÍNIO;Calcio;Potássio;Magnésio;Nitrogênio;Fósforo;pH;Carbono
-4861830.97;-2602615.97;0.00;2.59;192;1.6;0.1;190.9;6.64;-1
-4861831.81;-2602621.55;0.00;2.41;148;1.44;0.11;193.64;6.36;-1
-4861833.5;-2602625.85;0.00;2.83;144;1.65;0.1;169.48;6.48;-1
-4861834.57;-2602631.5;0.00;2.75;86;1.37;0.09;163.43;6.52;-1
-4861836.38;-2602641.84;0.00;2.4;124;1.31;0.1;142.84;6.77;-1
-4861837.66;-2602646.72;0.00;2.42;120;1.29;0.1;139.81;6.57;-1
-4861838.76;-2602652.72;0.00;2.28;108;1.24;0.08;109.88;6.45;-1
-4861840.88;-2602657.41;0.00;2.32;48;1.14;0.07;88.46;6.78;-1
-4861842.76;-2602668.28;0.00;2.02;104;1.05;0.07;66.76;6.61;-1
-4861836.49;-2602615.17;0.00;2.46;188;1.45;0.1;122.24;6.85;-1
-4861837.93;-2602620.38;0.00;2.34;152;1.43;0.09;128.01;6.65;8.01
-4861838.83;-2602625.1;0.00;2.37;184;1.28;0.09;137.34;6.54;-1
-4861840.2;-2602630.53;0.00;2.52;156;1.35;0.09;125.53;6.42;7.95
-4861841.07;-2602635.97;0.01;2.33;120;1.24;0.09;112.08;6.55;-1
-4861841.94;-2602641.54;0.04;2.14;120;1.17;0.08;127.73;6.1;7.29
-4861843.44;-2602646.19;0.02;1.84;136;1.04;0.08;131.03;6.41;-1
-4861847.46;-2602661.99;0.00;1.78;168;0.87;0.11;106.03;6.76;6.75
-4861848.97;-2602665.39;0.03;1.77;168;1.14;0.07;109.06;6.47;-1
-4861841.74;-2602613.6;0.03;2.99;29;1.25;0.1;132.95;6.23;-1
-4861844.1;-2602624.11;0.04;2.32;88;0.89;0.07;93.68;6.18;-1
-4861845.36;-2602629.75;0.04;2.73;21;1.07;0.09;101.09;6.12;-1
-4861846;-2602635.36;0.07;2.67;31;1.13;0.08;94.77;3.02;-1
-4861847.49;-2602640.34;0.03;2.61;27;1.04;0.1;99.72;3.23;-1
-4861848.52;-2602645.97;0.04;2.71;17;1.01;0.08;84.61;6.27;-1
-4861851.45;-2602656.12;0.01;2.1;20;0.87;0.07;80.77;6.28;-1
-4861853.72;-2602663.64;0.05;2.56;23;0.94;0.1;64.01;6.28;-1
-4861846.76;-2602612.78;0.04;2.95;100;1.21;0.08;140.66;6.1;-1
-4861847.98;-2602617.62;0.07;2.31;41;1.02;0.09;110.15;6.14;7.89
-4861850.43;-2602628.15;0.04;2.86;33;1.12;0.08;103.56;6.22;6.75
-4861851.59;-2602632.99;0.05;2.25;46;0.92;0.07;78.3;6.06;-1
-4861852.82;-2602638.59;0.04;2.49;33;1.01;0.08;76.1;6.21;7.29
-4861853.96;-2602643.51;0.05;2.27;37;0.93;0.07;60.17;5.95;-1
-4861856.67;-2602654.4;0.03;2.4;58;0.99;0.07;41.22;6;-1
-4861857.98;-2602659.53;0.04;2.36;56;0.96;0.07;57.42;6.14;6.09
-4861858.72;-2602661.49;0.05;2.24;94;0.96;0.09;61.82;5.94;-1
-4861855.53;-2602627.52;0.04;2.68;128;1.16;0.09;81.32;6.45;-1
-4861858.65;-2602642.97;0.01;2.06;80;0.78;0.06;76.02;6.2;-1
-4861859.72;-2602648.44;0.01;2.04;88;0.78;0.07;70.53;6.41;-1
-4861861.49;-2602653.76;0.00;2.28;60;0.86;0.08;60.92;6.47;-1
-4861863.16;-2602658.69;0.01;2.17;92;0.85;0.08;64.76;6.46;-1
-4861863.78;-2602659.87;0.00;2.15;94;0.88;0.08;73;6.28;-1
-4861857.15;-2602609.12;0.01;2.7;62;1.09;0.09;101.55;6.17;-1
-4861861.1;-2602625.49;0.00;2.71;41;1.06;0.08;90.57;6.51;7.95
-4861862.28;-2602630.85;0.03;1.95;40;0.77;0.07;88.65;6.12;-1
-4861865.07;-2602646.12;0.00;1.65;28;0.67;0.06;75.19;6.16;5.79
-4861866.68;-2602651.53;0.03;1.64;26;0.55;0.06;79.04;5.81;-1
-4861868.2;-2602656.94;0.00;2.02;32;0.85;0.07;77.37;6.25;5.61
-4861868.3;-2602658.42;0.03;1.87;28;0.79;0.07;90.57;6.26;-1
-4861860.18;-2602608.12;0.05;1.27;42;0.58;0.07;53.51;5.26;-1
-4861861.65;-2602613.87;0.03;2.32;50;0.93;0.1;52.41;5.91;-1
-4861863.19;-2602619.52;0.04;2.66;40;1.21;0.11;66.96;5.92;-1
-4861866.75;-2602635.07;0.04;1.66;42;0.68;0.07;64.76;5.32;-1
-4861869.65;-2602645.1;0.09;1.78;64;0.69;0.08;95.23;5.23;-1
-4861871.12;-2602650.33;0.06;1.43;80;0.74;0.08;95.78;5.22;-1
-4861872.51;-2602655.33;0.04;2.37;80;0.87;0.1;94.69;5.81;-1
-4861872.26;-2602657.29;0.04;2.22;78;0.81;0.07;98.8;5.83;-1
-4861838.11;-2602673.79;0.03;1.26;27;0.39;0.05;125.43;5.26;5.01
-4861843.21;-2602672.39;0.01;1.52;26;0.47;0.06;130.1;5.54;-1
-4861828.98;-2602681.94;0.02;1.89;19;0.81;0.07;94.41;6.4;-1
-4861834.14;-2602680.86;0.02;2.21;13;0.62;0.07;91.94;6.21;-1
-4861844.82;-2602677.95;0.04;1.14;19;0.51;0.05;66.68;5.1;-1
-4861836.18;-2602686.89;0.01;1.46;17;0.58;0.06;48.02;5.5;-1
-4861840.06;-2602699.89;0.04;0.65;15;0.3;0.03;9.72;5.35;3.1
-4861860.26;-2602690.31;0.01;0.92;10;0.31;0.03;12.03;5.8;3.04
-4861861.3;-2602701.31;0.00;0.72;13;0.3;0.03;29.94;5.89;3.7
-4861853.99;-2602716.76;0.17;0.17;7;0.04;0.02;4.75;4.95;3.1
-4861894.41;-2602700.8;0.03;0.92;42;0.21;0.05;6.04;5.73;4.3
-4861851.92;-2602738.37;0.06;1.81;44;0.56;0.12;6.93;5.11;5.5
-4861871.08;-2602729.61;0.06;1.04;20;0.43;0.07;4.07;5.25;4.3
-4861870.4;-2602740.58;0.03;1.65;48;0.76;0.09;6.45;5.52;7.95
-4861888.81;-2602742.89;0.03;1.38;20;0.53;0.06;15.51;5.66;6.75
-4861856.79;-2602667.44;0.03;1.84;29;0.61;0.09;75.73;5.48;5.79
-4861861.82;-2602665.18;0.00;3.57;56;0.9;0.11;-1;6.62;-1
-4861848.32;-2602676.12;0.07;0.5;14;0.14;0.05;38.08;5.08;-1
-4861853.49;-2602673.93;0.07;0.62;21;0.22;0.05;63.38;4.94;3.09
-4861850.03;-2602681.35;0.05;1.51;29;0.52;0.06;14.84;5.31;4.89
-4861870.6;-2602672.85;0.04;1.26;38;0.58;0.06;27.12;5.26;4.89
-4861880.67;-2602669.01;0.04;0.95;23;0.4;0.05;19.34;5.1;3.15
-4861814.5;-2602619.25;0.00;3.1;42;1.22;0.09;99.67;6.33;-1
-4861816.65;-2602625.17;0.00;3.15;42;1.13;0.1;90.98;6.42;9.15
-4861816.5;-2602630.63;0.00;2.71;56;1.15;0.09;79.58;6.46;-1
